,Mode,2016,Actual,EqualDev,Greenfield,mdINIS,TODInfill
0,PT,-120.54699999998674,28213.196412377314,20044.6957410287,13878.197542092663,31389.28184310571,31851.956201713812
1,Cycle,-82.45599999999092,16050.814410663159,14072.197131301615,9689.908866711752,21895.747778759953,18651.490644863246
2,Walk,-156.0089999999828,39413.32538589928,29267.067327777226,18932.976392615627,42106.400009961675,47081.26349904172
