,Mode,2016,Actual,EqualDev,Greenfield,mdINIS,TODInfill
0,PT,0.999,1.234043124,1.166281166,1.11512686,1.260390402,1.264228527
1,Cycle,0.999,1.194659144,1.170663107,1.117516116,1.265544627,1.226199314
2,Walk,0.999,1.252634947,1.187598583,1.121358232,1.26989725,1.30178556
