,Mode,2016,Actual,EqualDev,Greenfield,mdINIS,TODInfill
0,PT,116.2923999999872,-27217.43653899929,-19337.23589134533,-13388.378805312921,-30281.42483687845,-30727.76951224156
1,Cycle,33.919399999996266,-6602.721382568254,-5788.790183558163,-3986.076147442789,-9007.114427171708,-7672.54501527329
2,Walk,40.92409999999549,-10338.857818619957,-7677.303168590838,-4966.476416033955,-11045.302031598643,-12350.302454096452
