Outcome,no_change,actual,equal_dev,greenfield,md_inis,tod_infill
Economics ($M per year),0,30.54222772,23.13514547,15.51289522,34.81787182,35.61841928
Emissions (kt CO2 per year),0,-16.11804075,-11.97321517,-8.15443995,-18.37185207,-18.5239752
